Epoch,Loss,Value
0,recon_loss_0,239.05808137592516
0,recon_error_0,48.56382992393092
0,kl_loss,4.834061324596405
0,kl_loss_0,0.0711037650410282
0,kl_loss_1,1.0069804344522326
0,kl_loss_2,1.1766055485135631
0,kl_loss_3,0.07982736296559635
0,kl_loss_4,0.06847537475589074
0,kl_loss_5,1.041030252450391
0,kl_loss_6,0.780789423145746
0,kl_loss_7,0.5037009139594278
0,kl_loss_8,0.06518132680732953
0,kl_loss_9,0.04036687481168069
0,loss,258.3925219084087
1,recon_loss_0,176.41770051655016
1,recon_error_0,26.70958589252673
1,kl_loss,7.0786441501818205
1,kl_loss_0,0.0520693468616197
1,kl_loss_1,1.4272843160127338
1,kl_loss_2,1.63275881190049
1,kl_loss_3,0.06398605819987624
1,kl_loss_4,0.0396348612481042
1,kl_loss_5,1.603741583071257
1,kl_loss_6,1.1805309810136493
1,kl_loss_7,0.9912649926386381
1,kl_loss_8,0.046620598356974755
1,kl_loss_9,0.040752594898405825
1,loss,204.72667332699424
2,recon_loss_0,170.01372809159128
2,recon_error_0,24.123031616210938
2,kl_loss,7.8311664681685595
2,kl_loss_0,0.05511902204077495
2,kl_loss_1,1.4836218984503495
2,kl_loss_2,1.7004105605577167
2,kl_loss_3,0.27858503633423853
2,kl_loss_4,0.038562068764708544
2,kl_loss_5,1.6665926293322915
2,kl_loss_6,1.2209236559114958
2,kl_loss_7,1.0764891066049274
2,kl_loss_8,0.2817663009229459
2,kl_loss_9,0.0290962821853004
2,loss,201.3289899324116
3,recon_loss_0,162.75520003469367
3,recon_error_0,21.66509929456209
3,kl_loss,8.256206612837943
3,kl_loss_0,0.008842413289178359
3,kl_loss_1,1.4954220244759007
3,kl_loss_2,1.7306420489361412
3,kl_loss_3,0.47351079394942835
3,kl_loss_4,0.006347998878673503
3,kl_loss_5,1.706371451679029
3,kl_loss_6,1.2234444743708561
3,kl_loss_7,1.0765228428338702
3,kl_loss_8,0.5287830515911704
3,kl_loss_9,0.006319479502149318
3,loss,195.76682241339432
4,recon_loss_0,159.37575191921658
4,recon_error_0,20.87767431471083
4,kl_loss,8.486087110307482
4,kl_loss_0,0.005496738866592447
4,kl_loss_1,1.5439258284038968
4,kl_loss_2,1.7051376303037007
4,kl_loss_3,0.5398748632934358
4,kl_loss_4,0.004378422344517376
4,kl_loss_5,1.7653475668695238
4,kl_loss_6,1.2530569632848103
4,kl_loss_7,1.0827535688877106
4,kl_loss_8,0.5820748094055388
4,kl_loss_9,0.004040653506914775
4,loss,193.3031963772244
5,recon_loss_0,159.25371431049547
5,recon_error_0,20.078319649947318
5,kl_loss,8.909097069188169
5,kl_loss_0,0.003933349428208251
5,kl_loss_1,1.5822459584788273
5,kl_loss_2,1.8079836243077327
5,kl_loss_3,0.6402984920300936
5,kl_loss_4,0.003529453086421678
5,kl_loss_5,1.7636937028483342
5,kl_loss_6,1.302520055519907
5,kl_loss_7,1.1601441439829374
5,kl_loss_8,0.6411024865351225
5,kl_loss_9,0.003645911396137978
5,loss,194.86949719880758
6,recon_loss_0,155.60205559981497
6,recon_error_0,19.329015832198294
6,kl_loss,8.90205619209691
6,kl_loss_0,0.0032231570711653483
6,kl_loss_1,1.5785020276119834
6,kl_loss_2,1.8137410063492625
6,kl_loss_3,0.6515295536894548
6,kl_loss_4,0.002906974527592722
6,kl_loss_5,1.7944886370709068
6,kl_loss_6,1.3068609739604748
6,kl_loss_7,1.1200619747764187
6,kl_loss_8,0.6280015832499454
6,kl_loss_9,0.0027402717571117377
6,loss,191.1858761436061
7,recon_loss_0,158.10167332699424
7,recon_error_0,19.648590288664167
7,kl_loss,9.029232426693564
7,kl_loss_0,0.0025016906132039273
7,kl_loss_1,1.6237862988522178
7,kl_loss_2,1.7918147476095903
7,kl_loss_3,0.6813964153590956
7,kl_loss_4,0.002579205130275927
7,kl_loss_5,1.8277507643950612
7,kl_loss_6,1.3108462158002352
7,kl_loss_7,1.124113635012978
7,kl_loss_8,0.6620812133738869
7,kl_loss_9,0.002362212999478767
7,loss,194.1903983668277
8,recon_loss_0,156.90946027967664
8,recon_error_0,19.25499153137207
8,kl_loss,9.051736301845974
8,kl_loss_0,0.002133530124814974
8,kl_loss_1,1.5864887767367892
8,kl_loss_2,1.7912517256206937
8,kl_loss_3,0.6632685661315918
8,kl_loss_4,0.0021448807997836005
8,kl_loss_5,1.8357510103119745
8,kl_loss_6,1.3354881472057767
8,kl_loss_7,1.1503898037804499
8,kl_loss_8,0.682634476158354
8,kl_loss_9,0.002185348602425721
8,loss,193.08450317382812
9,recon_loss_0,153.47931871916117
9,recon_error_0,18.673662687602796
9,kl_loss,8.898534574006733
9,kl_loss_0,0.001762561794174345
9,kl_loss_1,1.5634094037507709
9,kl_loss_2,1.8114678859710693
9,kl_loss_3,0.6714250821816293
9,kl_loss_4,0.0017956198242149856
9,kl_loss_5,1.8091062558324713
9,kl_loss_6,1.2745055901376825
9,kl_loss_7,1.1216514957578558
9,kl_loss_8,0.6415467983797977
9,kl_loss_9,0.0018637414384437235
9,loss,189.03785143400492
10,recon_loss_0,152.97355732164885
10,recon_error_0,18.37301936902498
10,kl_loss,9.123817544234427
10,kl_loss_0,0.0014605257464082616
10,kl_loss_1,1.6304817011481838
10,kl_loss_2,1.8504953007949025
10,kl_loss_3,0.7104941449667278
10,kl_loss_4,0.0015831366181373596
10,kl_loss_5,1.8213411130403216
10,kl_loss_6,1.3065471272719533
10,kl_loss_7,1.1244960301800777
10,kl_loss_8,0.6753274923876712
10,kl_loss_9,0.0015908718403232725
